Name;NORAD_number;Revolution_number
VANGUARD 1;5;39987.0
VANGUARD 2;11;48775.0
VANGUARD 3;20;43805.0
EXPLORER 7;22;73931.0
TIROS 1;29;48287.0
TRANSIT 2A;45;32258.0
SOLRAD 1 (GREB);46;39876.0
COURIER 1B;58;18008.0
EXPLORER 11;107;21910.0
TRANSIT 4A;116;24096.0
SOLRAD 3 & INJUN 1;117;23839.0
TIROS 3;162;33386.0
MIDAS 3;163;7829.0
MIDAS 4;192;1343.0
TRANSIT 4B;202;16629.0
TRAAC;205;16444.0
TIROS 4;226;33137.0
MIDAS 5 (STRONGBACK);271;16798.0
TIROS 5;309;32338.0
TELSTAR 1;340;9586.0
FTV 3502;369;35641.0
TIROS 6;397;35245.0
ALOUETTE 1 (S-27);424;12632.0
ANNA 1B;446;5064.0
RELAY 1 (A-15);503;77430.0
EXPLORER 16;506;15323.0
SYNCOM 1;553;3125.0
TELSTAR 2 (A-41);573;56054.0
MIDAS 6 (FTV 1169);574;18313.0
DASH 1;589;95912.0
ERS 6;608;95885.0
MIDAS 7/ERS 10;622;42542.0
SYNCOM 2 (A 26);634;22634.0
ERS 9;635;93608.0
TRANSIT 5B-1;670;2038.0
RADIATION SAT (5E-1);671;2119.0
VELA 2;674;849.0
VELA 1;692;1229.0
ATLAS CENTAUR 2;694;8910.0
TRANSIT 5B-2;704;1743.0
TRANSIT 5E-3;705;1818.0
TIROS 8;716;27787.0
GGSE 1 (GGRS);728;12422.0
SECOR 1B;729;12087.0
SOLRAD 7A;730;541.0
GREB;731;12222.0
OPS 3367 A;734;19156.0
OPS 3367 B;735;18954.0
RELAY 2;737;65647.0
ELEKTRON 1;746;3080.0
OPS 4412 (TRANSIT 9);801;12943.0
OPS 4467 A;812;15930.0
OPS 4467 B;813;15797.0
ELEKTRON 3;829;97851.0
OPS 3662 (VELA 3);836;5312.0
OPS 3674 (VELA 4);837;5369.0
SYNCOM 3;858;4945.0
EXPLORER 20;870;7825.0
COSMOS 44;876;23001.0
OPS 5798 (TRANSIT 5B-4);897;99107.0
EXPLORER 22;899;5008.0
CALSPHERE 1;900;1635.0
CALSPHERE 2;902;80213.0
EXPLORER 25 (INJUN 4);932;76844.0
OPS 6582 (TRANSIT 5E-5);959;99621.0
OPS 6582 (TRANSIT 5B-5);965;98928.0
TIROS 9;978;66360.0
LES-1;1002;17657.0
SECOR 3;1208;6329.0
GGSE 2;1244;6219.0
OPS 4988 (GREB 6);1271;6291.0
PORCUPINE 1;1272;6108.0
SOLRAD 7B;1291;6088.0
GGSE 3;1292;6848.0
OSCAR 3 (OSCAR III);1293;7568.0
OPS 4682 (SNAPSHOT);1314;57934.0
SECOR 4 (EGRS 4);1315;83521.0
INTELSAT 1-F1;1317;12315.0
EXPLORER 27;1328;93515.0
LES-2;1360;1922.0
LCS 1;1361;17024.0
OPS 8480 (TRANSIT 5B-6);1420;94936.0
TIROS 10;1430;13824.0
OPS 6577 (VELA 5);1458;8532.0
SECOR 5 (EGRS 5);1506;57106.0
DODECAPOLE 2;1510;97677.0
TEMPSAT 1;1512;90674.0
OPS 8464 (TRANSIT 5B-7);1514;90783.0
NAVSPASUR ROD 1;1515;92626.0
CALSPHERE 4A;1520;90926.0
COSMOS 80;1570;73116.0
COSMOS 81;1571;72261.0
COSMOS 82;1572;71431.0
COSMOS 83;1573;70612.0
COSMOS 84;1574;69690.0
PORCUPINE 2;1577;90918.0
OPS 8068;1580;7583.0
COSMOS 86;1584;72730.0
COSMOS 87;1585;71578.0
COSMOS 88;1586;70872.0
COSMOS 89;1587;69922.0
COSMOS 90;1588;68954.0
OV1-2;1613;66267.0
OV2-1 & LCS 2;1641;15896.0
EXPLORER 29 (GEOS 1);1726;60208.0
EXPLORER 30;1738;11959.0
A-1 (ASTERIX);1778;91069.0
ALOUETTE 2;1804;63012.0
EXPLORER 31 (ISIS-X);1806;59999.0
FR 1;1814;99722.0
OPS 1509 (TRANSIT 10);1864;98139.0
OPS 1593 (TRANSIT 11);1952;95141.0
ESSA 1 (OT-3);1982;10000.0
DIAPASON (D1-A);2016;68968.0
ESSA 2 (OT-2);2091;74281.0
OPS 1117 (TRANSIT 12);2119;96016.0
OV1-4;2121;99552.0
OV1-5;2122;95034.0
OPS 0340;2125;12197.0
OAO 1;2142;9357.0
OPS 1527 (OV3-1);2150;35159.0
NIMBUS 2;2173;87077.0
OPS 0082 (TRANSIT 13);2176;1178.0
OPS 1427 (OV3-4);2201;15682.0
OPS 9381 (GGTS);2207;23162.0
OPS 9311 (IDSCS 1);2215;13031.0
OPS 9312 (IDSCS 2);2216;4494.0
OPS 9313 (IDSCS 3);2217;13519.0
OPS 9314 (IDSCS 4);2218;23109.0
OPS 9315 (IDSCS 5);2219;5222.0
OPS 9316 (IDSCS 6);2220;13474.0
OPS 9317 (IDSCS 7);2221;4674.0
OV3-3;2389;54536.0
OPS 2366 (TRANSIT 14);2401;89734.0
OPS 0856;2403;49204.0
SECOR 7 (EGRS 7);2411;84297.0
ERS 15;2412;35607.0
OPS 6026 (DMSP 4A F1);2418;7525.0
ESSA 3 (TOS-A);2435;68870.0
OPS 1920;2481;83827.0
INTELSAT 2-F1;2514;8675.0
SECOR 8 (EGRS 8);2520;34756.0
ATS 1;2608;13078.0
OV1-9;2610;19144.0
INTELSAT 2-F2;2639;11523.0
OPS 9321 (IDSCS 8);2645;23011.0
OPS 9322 (IDSCS 9);2649;13508.0
OPS 9323 (IDSCS 10);2650;13611.0
OPS 9324 (IDSCS 11);2651;13636.0
OPS 9325 (IDSCS 12);2652;13577.0
OPS 9326 (IDSCS 13);2653;12837.0
OPS 9327 (IDSCS 14);2654;13516.0
OPS 9328 (IDSCS 15);2655;13490.0
ESSA 4 (TOS-B);2657;70221.0
OPS 6073 (DMSP 4A F2);2669;2720.0
DIADEME 1;2674;3063.0
DIADEME 2;2680;82271.0
INTELSAT 2-F3;2717;11988.0
OPS 0100 (TRANSIT 15);2754;87182.0
ESSA 5;2757;68869.0
OPS 6679 (VELA 8);2766;4537.0
COSMOS 158;2801;3950.0
OPS 7218 (TRANSIT 16);2807;85386.0
OPS 5712 (P/L 160);2826;778.0
GGSE 4;2828;95222.0
GGSE 5;2834;95025.0
TIMATION 1;2847;95765.0
SECOR 9 (EGRS 9);2861;76757.0
OPS 9331 (IDSCS 16);2862;13279.0
OPS 9332 (IDSCS 17);2863;12032.0
OPS 9333 (IDSCS 18);2864;12714.0
OPS 9334 (IDSCS 19);2865;12577.0
LES-5;2866;12665.0
DODGE 1;2867;12901.0
SURCAL 159;2872;95418.0
OPS 5712 (P/L 152);2873;95255.0
OPS 5712 (P/L 153);2874;95086.0
AURORA 1;2876;35609.0
SURCAL 150B;2909;2038.0
OPS 7202 (DMSP 4A F3);2920;97607.0
OPS 4947 (TRANSIT 17);2965;84204.0
INTELSAT 2-F4;2969;11129.0
OPS 1264 (DMSP 4A F4);2980;4958.0
ATS 3;3029;21061.0
ESSA 6 (TOS-D);3035;63286.0
COSMOS 192;3047;4031.0
COSMOS 198;3081;91780.0
EXPLORER 36 (GEOS 2);3093;68600.0
COSMOS 203;3129;75370.0
OPS 7034 (TRANSIT 18);3133;54030.0
COSMOS 209;3158;91552.0
OV1-13;3173;50898.0
OV1-14;3174;44842.0
COSMOS 220;3229;3113.0
OPS 7869 (DMSP 4B F1);3266;85649.0
OPS 9341 (IDSCS 20);3284;4587.0
OPS 9342 (IDSCS 21);3285;22384.0
OPS 9343 (IDSCS 22);3286;13554.0
OPS 9344 (IDSCS 23);3287;22293.0
OPS 9345 (IDSCS 24);3288;13518.0
OPS 9346 (IDSCS 25);3289;4635.0
OPS 9347 (IDSCS 26);3290;4283.0
OPS 9348 (IDSCS 27);3291;22174.0
EXPLORER 38 (RAE-A);3307;33371.0
OPS 2222;3334;2214.0
EXPLORER 40 (INJUN 5);3338;52935.0
ESSA 7 (TOS-E);3345;59484.0
